order_id,date,product,category,region,price,units_sold
1000,2025-01-21,Webcam,Accessories,North,56.2,8.0
1001,2025-04-27,Webcam,Accessories,West,55.2,11.0
1002,2025-06-07,Monitor,Electronics,West,206.04,2.0
1003,2025-02-27,keyboard,Accessories,West,,33.0
1004,2025-06-19,keyboard,Accessories,East,40.71,27.0
1005,2025-02-20,Tablet,Electronics,North,328.99,
1006,2025-03-01,Webcam,Accessories,North,54.78,4.0
1007,2025-04-02,Phone,Electronics,West,541.92,2.0
1008,2025-03-22,Webcam,Accessories,,64.0,35.0
1009,2025-04-16,Monitor,Electronics,South,210.21,6.0
1010,2025-06-11,Monitor,Electronics,,218.78,26.0
1011,2025-02-09,Charger,Accessories,West,20.39,15.0
1012,2025-05-04,Mouse,Accessories,South,23.86,24.0
1013,2025-01-09,Headphones,Accessories,East,,25.0
1014,2025-03-22,Speaker,Accessories,East,76.7,11.0
1015,2025-02-10,Speaker,Accessories,South,84.34,5.0
1016,2025-05-31,Webcam,Accessories,West,59.39,33.0
1017,2025-02-04,Speaker,Accessories,,81.46,22.0
1018,2025-01-05,Laptop,Electronics,North,1094.34,3.0
1019,2025-01-15,Charger,Accessories,North,19.02,27.0
1020,2025-02-21,charger,Accessories,East,18.43,32.0
1021,2025-01-29,Monitor,Electronics,East,189.97,15.0
1022,2025-03-07,Monitor,Electronics,West,203.95,22.0
1023,2025-01-28,Charger,Accessories,West,20.53,6.0
1024,2025-05-09,Monitor,Electronics,North,201.57,28.0
1025,2025-01-03,Headphones,Accessories,North,108.01,13.0
1026,2025-02-20,Webcam,Accessories,,60.41,37.0
1027,2025-06-29,Charger,Accessories,West,21.77,32.0
1028,2025-02-08,laptop,Electronics,South,950.78,12.0
1029,2025-04-23,Phone,Electronics,East,557.77,17.0
1030,2025-05-09,Phone,Electronics,West,546.18,37.0
1031,2025-06-09,Tablet,Electronics,West,301.86,26.0
1032,2025-02-07,Webcam,Accessories,East,63.14,17.0
1033,2025-05-24,Speaker,Accessories,East,87.73,22.0
1034,2025-01-03,Laptop,Electronics,North,1001.64,16.0
1035,2025-05-27,Monitor,Electronics,East,188.81,26.0
1036,2025-05-08,Monitor,Electronics,West,186.97,
1037,2025-06-27,Webcam,Accessories,North,55.65,28.0
1038,2025-05-24,Webcam,Accessories,West,62.35,7.0
1039,2025-02-17,Charger,Accessories,North,20.07,2.0
1040,2025-04-09,Mouse,Accessories,North,25.67,9.0
1041,2025-04-30,Tablet,Electronics,South,323.83,24.0
1042,2025-06-15,Laptop,Electronics,West,916.83,8.0
1043,2025-06-02,Speaker,Accessories,East,72.15,25.0
1044,2025-06-18,Phone,Electronics,West,605.85,35.0
1045,2025-05-28,Monitor,Electronics,West,189.49,
1046,2025-02-02,Speaker,Accessories,West,85.59,
1047,2025-04-19,Tablet,Electronics,South,285.03,30.0
1048,2025-01-30,Tablet,Electronics,North,307.87,34.0
1049,2025-03-02,Laptop,Electronics,West,998.5,5.0
1050,2025-06-07,Tablet,Electronics,West,316.11,17.0
1051,2025-04-03,Mouse,Accessories,,26.24,37.0
1052,2025-06-09,Laptop,Electronics,West,1014.46,33.0
1053,2025-02-23,Webcam,Accessories,North,59.82,18.0
1054,2025-03-27,Charger,Accessories,East,18.28,32.0
1055,2025-01-17,Webcam,Accessories,South,60.22,2.0
1056,2025-06-19,Speaker,Accessories,North,83.24,39.0
1057,2025-03-01,Webcam,Accessories,North,57.07,24.0
1058,2025-01-08,charger,Accessories,North,20.51,20.0
1059,2025-03-27,Tablet,Electronics,West,292.53,2.0
1060,2025-02-27,Tablet,Electronics,South,302.56,
1061,2025-04-11,Keyboard,Accessories,South,40.85,15.0
1062,2025-01-06,Laptop,Electronics,East,954.31,5.0
1063,2025-04-24,Monitor,Electronics,North,207.98,16.0
1064,2025-02-27,Charger,Accessories,West,21.18,19.0
1065,2025-05-17,Webcam,Accessories,East,56.21,736.0
1066,2025-05-06,mouse,Accessories,West,27.08,34.0
1067,2025-03-10,Keyboard,Accessories,West,46.44,1.0
1068,2025-06-28,Keyboard,Accessories,West,40.93,26.0
1069,2025-02-16,Mouse,Accessories,North,24.21,28.0
1070,2025-05-24,Laptop,Electronics,West,1095.9,5.0
1071,2025-04-11,Charger,Accessories,North,21.23,36.0
1072,2025-06-29,webcam,Accessories,South,65.39,36.0
1073,2025-03-10,Charger,Accessories,West,20.01,1.0
1074,2025-05-08,Monitor,Electronics,North,217.76,2.0
1075,2025-06-28,Monitor,Electronics,North,195.53,33.0
1076,2025-02-13,Mouse,Accessories,East,26.6,10.0
1077,2025-03-31,phone,Electronics,North,614.19,23.0
1078,2025-04-15,Speaker,Accessories,,,34.0
1079,2025-04-30,Webcam,Accessories,North,62.36,11.0
1080,2025-04-11,Monitor,Electronics,South,218.7,
1081,2025-02-05,Headphones,Accessories,West,121.82,35.0
1082,2025-02-06,Phone,Electronics,South,609.67,23.0
1083,2025-01-30,Laptop,Electronics,North,1047.98,35.0
1084,2025-05-21,Laptop,Electronics,South,999.31,25.0
1085,2025-01-09,Tablet,Electronics,West,270.65,19.0
1086,2025-04-21,Webcam,Accessories,South,62.12,19.0
1087,2025-02-22,mouse,Accessories,West,25.51,21.0
1088,2025-05-02,Webcam,Accessories,South,55.36,39.0
1089,2025-03-17,Mouse,Accessories,South,25.23,11.0
1090,2025-06-23,Headphones,Accessories,East,122.84,38.0
1091,2025-01-29,speaker,Accessories,North,85.15,2.0
1092,2025-05-25,Mouse,Accessories,South,25.41,1.0
1093,2025-06-08,Webcam,Accessories,West,63.04,6.0
1094,2025-03-31,Tablet,Electronics,South,303.5,27.0
1095,2025-05-06,Tablet,Electronics,South,,13.0
1096,2025-05-11,Charger,Accessories,North,21.07,39.0
1097,2025-04-27,Headphones,Accessories,South,114.86,33.0
1098,2025-04-28,Keyboard,Accessories,West,49.3,21.0
1099,2025-01-20,Mouse,Accessories,East,22.87,
1100,2025-06-08,Headphones,Accessories,East,123.11,14.0
1101,2025-01-12,Laptop,Electronics,East,1016.86,16.0
1102,2025-06-05,Charger,Accessories,West,21.56,12.0
1103,2025-03-01,Mouse,Accessories,West,23.44,26.0
1104,2025-06-04,Phone,Electronics,West,583.24,36.0
1105,2025-06-06,keyboard,Accessories,North,43.02,20.0
1106,2025-06-02,Tablet,Electronics,East,326.99,5.0
1107,2025-02-02,phone,Electronics,East,645.2,5.0
1108,2025-01-26,Keyboard,Accessories,North,,
1109,2025-04-08,Headphones,Accessories,North,128.21,13.0
1110,2025-04-05,Headphones,Accessories,West,114.56,6.0
1111,2025-06-14,Mouse,Accessories,North,,37.0
1112,2025-04-20,Charger,Accessories,North,18.99,14.0
1113,2025-02-01,Laptop,Electronics,North,1021.23,1.0
1114,2025-06-11,Phone,Electronics,South,553.63,26.0
1115,2025-02-23,Keyboard,Accessories,North,45.18,12.0
1116,2025-02-16,mouse,Accessories,West,26.46,17.0
1117,2025-06-28,Webcam,Accessories,East,61.44,2.0
1118,2025-04-08,Webcam,Accessories,South,54.17,38.0
1119,2025-06-15,Phone,Electronics,West,592.5,34.0
1120,2025-01-29,Laptop,Electronics,North,979.31,17.0
1121,2025-03-25,Monitor,Electronics,West,213.68,17.0
1122,2025-05-06,speaker,Accessories,North,81.93,2.0
1123,2025-04-28,Tablet,Electronics,East,297.61,16.0
1124,2025-04-06,Speaker,Accessories,East,83.14,25.0
1125,2025-01-05,Tablet,Electronics,North,328.39,19.0
1126,2025-01-01,Phone,Electronics,South,561.24,21.0
1127,2025-03-19,Mouse,Accessories,North,23.53,34.0
1128,2025-02-25,Charger,Accessories,East,18.16,22.0
1129,2025-06-29,Laptop,Electronics,North,1061.24,35.0
1130,2025-05-10,Speaker,Accessories,South,81.89,23.0
1131,2025-04-21,charger,Accessories,East,19.01,7.0
1132,2025-02-07,Webcam,Accessories,South,60.39,18.0
1133,2025-02-08,Tablet,Electronics,West,276.29,37.0
1134,2025-01-13,Headphones,Accessories,North,110.14,25.0
1135,2025-04-21,Monitor,Electronics,East,194.2,18.0
1136,2025-06-18,Keyboard,Accessories,South,47.21,19.0
1137,2025-02-28,Mouse,Accessories,East,25.73,34.0
1138,2025-03-11,Keyboard,Accessories,North,,22.0
1139,2025-06-01,Webcam,Accessories,East,,30.0
1140,2025-02-05,Webcam,Accessories,West,54.62,31.0
1141,2025-01-04,Speaker,Accessories,East,78.37,28.0
1142,2025-03-03,Keyboard,Accessories,East,44.92,38.0
1143,2025-06-22,Headphones,Accessories,East,120.84,26.0
1144,2025-01-20,Mouse,Accessories,West,24.12,19.0
1145,2025-02-07,Laptop,Electronics,West,1041.45,14.0
1146,2025-01-03,Mouse,Accessories,East,27.16,
1147,2025-05-18,Laptop,Electronics,East,990.85,5.0
1148,2025-04-11,Phone,Electronics,East,637.18,1.0
1149,2025-06-12,Headphones,Accessories,South,122.3,24.0
1150,2025-04-30,Laptop,Electronics,North,1049.19,14.0
1151,2025-03-05,Headphones,Accessories,West,117.1,1.0
1152,2025-01-14,keyboard,Accessories,North,47.53,11.0
1153,2025-03-03,Tablet,Electronics,South,318.87,14.0
1154,2025-03-13,Monitor,Electronics,West,203.53,18.0
1155,2025-01-23,Webcam,Accessories,North,64.8,38.0
1156,2025-02-22,Laptop,Electronics,,1079.91,2.0
1157,2025-03-08,Speaker,Accessories,South,80.69,6.0
1158,2025-06-06,Webcam,Accessories,East,62.32,15.0
1159,2025-02-07,Laptop,Electronics,North,1078.78,36.0
1160,2025-03-27,Headphones,Accessories,South,113.96,33.0
1161,2025-02-07,Phone,Electronics,South,645.21,33.0
1162,2025-05-16,Monitor,Electronics,North,204.16,15.0
1163,2025-04-05,Mouse,Accessories,East,24.54,2.0
1164,2025-05-28,Tablet,Electronics,,302.56,27.0
1165,2025-03-31,Charger,Accessories,East,18.91,23.0
1166,2025-04-21,Charger,Accessories,North,20.02,25.0
1167,2025-03-09,Speaker,Accessories,West,86.91,36.0
1168,2025-05-02,Mouse,Accessories,East,26.04,28.0
1169,2025-05-31,Headphones,Accessories,East,125.67,931.0
1170,2025-02-26,Laptop,Electronics,South,1096.97,36.0
1171,2025-06-24,Laptop,Electronics,North,1003.77,
1172,2025-02-04,Headphones,Accessories,North,112.93,26.0
1173,2025-06-11,Monitor,Electronics,East,216.79,2.0
1174,2025-06-29,Laptop,Electronics,North,906.57,24.0
1175,2025-05-30,keyboard,Accessories,East,43.3,29.0
1176,2025-03-25,charger,Accessories,North,20.65,7.0
1177,2025-04-14,Headphones,Accessories,East,117.95,28.0
1178,2025-06-28,Laptop,Electronics,East,,30.0
1179,2025-06-22,Speaker,Accessories,North,75.28,29.0
1180,2025-04-23,Speaker,Accessories,South,76.7,2.0
1181,2025-01-08,Phone,Electronics,North,631.84,4.0
1182,2025-04-20,Webcam,Accessories,East,58.48,10.0
1183,2025-06-27,Phone,Electronics,West,543.05,
1184,2025-03-13,Webcam,Accessories,West,54.33,3.0
1185,2025-01-08,Keyboard,Accessories,West,45.62,33.0
1186,2025-02-15,Phone,Electronics,West,658.65,32.0
1187,2025-02-24,Monitor,Electronics,East,185.64,14.0
1188,2025-05-27,phone,Electronics,North,550.26,23.0
1189,2025-02-16,Tablet,Electronics,North,295.29,2.0
1190,2025-04-29,Mouse,Accessories,East,23.8,2.0
1191,2025-02-22,Monitor,Electronics,North,196.38,30.0
1192,2025-06-07,Tablet,Electronics,North,315.82,24.0
1193,2025-04-24,Speaker,Accessories,North,79.54,32.0
1194,2025-01-25,Tablet,Electronics,North,314.5,2.0
1195,2025-01-29,Webcam,Accessories,South,61.74,4.0
1196,2025-03-26,Phone,Electronics,West,542.21,18.0
1197,2025-06-02,Charger,Accessories,North,19.1,
1198,2025-01-27,Keyboard,Accessories,North,42.36,22.0
1199,2025-02-22,Headphones,Accessories,West,125.57,34.0
1200,2025-05-02,Webcam,Accessories,West,64.06,21.0
1201,2025-01-26,Phone,Electronics,East,628.56,36.0
1202,2025-02-08,Mouse,Accessories,North,24.69,36.0
1203,2025-05-30,Speaker,Accessories,South,79.62,24.0
1204,2025-03-22,Mouse,Accessories,East,23.85,20.0
1205,2025-02-09,Phone,Electronics,North,596.91,9.0
1206,2025-02-04,Laptop,Electronics,,1040.99,25.0
1207,2025-04-08,tablet,Electronics,South,270.14,30.0
1208,2025-02-26,Tablet,Electronics,South,,17.0
1209,2025-03-24,Webcam,Accessories,West,55.04,16.0
1210,2025-01-25,Speaker,Accessories,South,84.14,37.0
1211,2025-04-19,Phone,Electronics,North,566.55,26.0
1212,2025-05-31,charger,Accessories,North,20.82,7.0
1213,2025-04-27,Charger,Accessories,East,21.66,14.0
1214,2025-03-23,Webcam,Accessories,North,65.09,23.0
1215,2025-01-14,Monitor,Electronics,North,192.76,39.0
1216,2025-02-06,Speaker,Accessories,East,73.93,34.0
1217,2025-04-30,Speaker,Accessories,East,78.47,39.0
1218,2025-06-10,Laptop,Electronics,South,1032.33,13.0
1219,2025-02-03,Charger,Accessories,South,19.67,35.0
1220,2025-05-03,Webcam,Accessories,East,58.61,32.0
1221,2025-01-16,webcam,Accessories,South,54.63,29.0
1222,2025-04-13,Speaker,Accessories,North,78.37,30.0
1223,2025-05-22,Monitor,Electronics,North,189.55,
1224,2025-06-25,Speaker,Accessories,North,76.74,37.0
1225,2025-05-01,Laptop,Electronics,North,909.02,15.0
1226,2025-06-20,Speaker,Accessories,North,87.3,37.0
1227,2025-03-03,Keyboard,Accessories,East,48.46,
1228,2025-04-03,Phone,Electronics,West,658.94,8.0
1229,2025-02-26,Keyboard,Accessories,East,45.11,10.0
1230,2025-01-05,charger,Accessories,North,21.83,6.0
1231,2025-05-02,Keyboard,Accessories,West,48.45,35.0
1232,2025-05-25,Laptop,Electronics,South,979.25,18.0
1233,2025-05-05,Speaker,Accessories,West,79.41,13.0
1234,2025-04-15,Headphones,Accessories,East,121.92,34.0
1235,2025-06-02,Speaker,Accessories,East,74.07,9.0
1236,2025-05-19,Phone,Electronics,North,,25.0
1237,2025-05-13,Phone,Electronics,,,8.0
1238,2025-03-22,Charger,Accessories,,21.85,13.0
1239,2025-03-08,Phone,Electronics,East,597.67,29.0
1240,2025-02-02,Speaker,Accessories,North,80.7,839.0
1241,2025-02-28,Keyboard,Accessories,,48.31,28.0
1242,2025-06-04,Headphones,Accessories,East,113.73,36.0
1243,2025-06-19,Keyboard,Accessories,East,48.43,31.0
1244,2025-03-23,Charger,Accessories,East,18.91,39.0
1245,2025-01-13,Monitor,Electronics,East,210.27,12.0
1246,2025-03-29,Laptop,Electronics,West,923.17,34.0
1247,2025-03-04,Tablet,Electronics,South,287.0,
